thread_id,subject,entities_found,event_id,actor,actor_entity_id,recipient,recipient_entity_id,event_description,quoted_evidence,date_normalized,date_confidence,location_normalized,location_confidence,trafficking_flag,trafficking_confidence,trafficking_indicators,flag_reasoning,error,total_input_tokens,total_output_tokens
IMAGES-011-HOUSE_OVERSIGHT_032233.txt_1412,Re: Meet?,Matthew Mosk (ENT_000002); Martin G. Weinberg (ENT_000003); Kathy Ruemmler (ENT_000004); Bill Clinton (ENT_000007); Donald Trump (ENT_000009); ABC News (ENT_000005),EVT_001,Matthew Mosk,ENT_000002,Martin G. Weinberg,ENT_000003,"Matthew Mosk, a reporter with ABC News investigative unit, contacted Martin G. Weinberg requesting a meeting to discuss Jeffrey Epstein case background research related to Bill Clinton and Donald Trump.","I am a reporter with the ABC News investigative unit. We are gathering background research on the major candidates for President. Seeing that both former President Clinton and Mr. Trump have been mentioned in connection to the Jeffrey Epstein case, I am interested in better understanding the case, it's current status, and any information that could help explain Mr. Epstein's dealings and interactions with both men.",2016-01-20,exact,,unknown,False,0.0,,"This is a routine journalistic inquiry from an ABC News reporter to an attorney requesting background information on a public case. No procurement, transport, coercion, or concealment language is present.",,3449,1532
IMAGES-011-HOUSE_OVERSIGHT_032233.txt_1412,Re: Meet?,Matthew Mosk (ENT_000002); Martin G. Weinberg (ENT_000003); Kathy Ruemmler (ENT_000004); Bill Clinton (ENT_000007); Donald Trump (ENT_000009); ABC News (ENT_000005),EVT_002,Martin G. Weinberg,ENT_000003,Jeffrey Epstein,ENT_000001,Martin G. Weinberg forwarded Matthew Mosk's meeting request to Jeffrey Epstein at his email address jeevacation@gmail.com.,Fw: Meet?,2016-01-20,exact,,unknown,False,0.0,,"This is a simple email forwarding of a legitimate media inquiry. No suspicious transactions, unnamed individuals, or concealment tactics are evident.",,3449,1532
IMAGES-011-HOUSE_OVERSIGHT_032233.txt_1412,Re: Meet?,Matthew Mosk (ENT_000002); Martin G. Weinberg (ENT_000003); Kathy Ruemmler (ENT_000004); Bill Clinton (ENT_000007); Donald Trump (ENT_000009); ABC News (ENT_000005),EVT_003,Jeffrey Epstein,ENT_000001,Kathy Ruemmler,ENT_000004,Jeffrey Epstein forwarded the meeting request from Matthew Mosk to his attorney Kathy Ruemmler for consultation regarding the ABC News inquiry about his dealings with Clinton and Trump.,Re: Meet?,2016-01-20,exact,,unknown,False,0.0,,"This represents standard attorney-client communication regarding a media inquiry. No indicators of trafficking, procurement of persons, or suspicious logistics are present.",,3449,1532
IMAGES-010-HOUSE_OVERSIGHT_029224.txt_14243,Re:,Joi Ito (ENT_000006); Bill Clinton (ENT_000007); Alan (ENT_000008),EVT_001,Jeffrey Epstein,null,Joi Ito,ENT_000006,"Epstein informed Joi Ito about negative press coverage and allegations involving claims of Bill Clinton dining on Epstein's island. Epstein explicitly denied Clinton's presence, stating 'he was NEVER on the island NEVER' despite the accuser having detailed accounts of Clinton's seating arrangements.","bad press in fulll swing. she also claims to have dinner on my island with clinton. lots of details where he was sitting etc however he was NEVER on the island NEVER. its silly, but she has lots of traction",2015-01-04,exact,,unknown,True,0.75,Reference to unnamed female accuser ('she') with detailed accounts of island activities; Discussion of dining and seating arrangements on private island with vague female participant; Denial language and emphasis on concealment ('NEVER on the island NEVER'); Reference to 'traction' of allegations suggesting pattern of accusations,"While this event primarily documents Epstein's denial of allegations, the underlying accusation involves an unnamed female with detailed knowledge of island dining logistics, which aligns with procurement/logistics indicators and the island location's relevance to documented trafficking patterns.",,2678,1095
IMAGES-010-HOUSE_OVERSIGHT_029224.txt_14243,Re:,Joi Ito (ENT_000006); Bill Clinton (ENT_000007); Alan (ENT_000008),EVT_002,Joi Ito,ENT_000006,Jeffrey Epstein,null,"Joi Ito responded to Epstein's message referencing Alan, commenting that Alan is not the type to give up, suggesting persistence in some matter related to the discussion.",Heard Alan is not the type to give up.,2015-01-04,exact,,unknown,False,0.05,,Vague reference to 'Alan' and persistence lacks sufficient context or specificity to identify trafficking indicators. Insufficient information to assess.,,2678,1095
IMAGES-006-HOUSE_OVERSIGHT_021811.txt_24585,Re: we'll see,Nadia (ENT_000010); President Clinton (ENT_000007),EVT_001,Jeffrey Epstein,ENT_000001,Nadia,ENT_000010,Epstein sent a detailed written response to Nadia defending himself against allegations and characterizing claims about President Clinton as fabricated. He disputed the credibility of accusers and referenced travel records as evidence of falsehood.,"The fact is that this story is total make believe, fabricated on purpose to gain tabloid attention, and easily refuted by readily available travel records of a former president.",2015-01-09,exact,,unknown,False,0.0,,"This event documents Epstein's written defense against allegations and references to travel records. No indicators of procurement, sexual services, suspicious payments, transport of individuals, coercion, or grooming language are present.",,4073,1325
IMAGES-006-HOUSE_OVERSIGHT_021811.txt_24585,Re: we'll see,Nadia (ENT_000010); President Clinton (ENT_000007),EVT_002,Jeffrey Epstein,ENT_000001,Nadia,ENT_000010,"Epstein provided editorial feedback to Nadia on a draft document, requesting less personal attacks and more factual arguments against allegations, while expressing support for a fact-checking narrative approach.","Yes, let's do it. I like most of it. Would like less personal attacks and more reasons why allegations are ridiculous.",2015-01-09,exact,,unknown,False,0.0,,"This event reflects editorial feedback on a defensive document strategy. No procurement, sexual services, payments, transport, coercion, or grooming indicators are evident.",,4073,1325
IMAGES-006-HOUSE_OVERSIGHT_021811.txt_24585,Re: we'll see,Nadia (ENT_000010); President Clinton (ENT_000007),EVT_003,Jeffrey Epstein,ENT_000001,President Clinton,ENT_000007,"An accuser allegedly claimed to have attended a dinner with President Clinton on a Caribbean island at Epstein's location, arriving by helicopter. Epstein disputed this claim as fabrication.","She claimed in the minutest of detail, her dinner with President Clinton on the Caribbean Island, How he arrived. (by black heli). where he sat, (on jeffreys left.)",2015-01-09,exact,Caribbean,inferred,False,0.0,,"This event documents Epstein's dispute of an accuser's claim about a dinner with President Clinton. While it references a location and transportation, it does not contain indicators of procurement, sexual services, coercion, or trafficking of individuals.",,4073,1325
IMAGES-010-HOUSE_OVERSIGHT_028579.txt_5872,Re:,Reid Weingarten (ENT_000011),EVT_001,Reid Weingarten,ENT_000011,Jeffrey Epstein,ENT_000001,"Reid Weingarten informs Jeffrey Epstein about SDNY's prosecutorial strategy, stating that Epstein was correct in his earlier assessment but that SDNY intends to delay their action.","Turns out you were right about sdny but they are ""going to wait their turn""",2019-01-22,exact,,unknown,False,0.0,,"Attorney-client discussion regarding prosecutorial strategy and legal proceedings. No indicators of trafficking activity, procurement, or victim-related communications.",,3852,1740
IMAGES-010-HOUSE_OVERSIGHT_028579.txt_5872,Re:,Reid Weingarten (ENT_000011),EVT_002,Jeffrey Epstein,ENT_000001,Reid Weingarten,ENT_000011,"Jeffrey Epstein seeks clarification from Reid Weingarten about the nature of the legal proceedings being discussed, specifically whether they are civil or criminal in nature.",Civil or crime,2019-01-22,exact,,unknown,False,0.0,,Legal clarification between client and attorney regarding the nature of pending charges. Standard legal inquiry with no trafficking indicators.,,3852,1740
IMAGES-010-HOUSE_OVERSIGHT_028579.txt_5872,Re:,Reid Weingarten (ENT_000011),EVT_003,Reid Weingarten,ENT_000011,Jeffrey Epstein,ENT_000001,Reid Weingarten clarifies to Jeffrey Epstein that the proceedings in question are criminal in nature.,Crim,2019-01-22,exact,,unknown,False,0.0,,Attorney providing straightforward factual response about criminal versus civil proceedings. No trafficking-related content.,,3852,1740
IMAGES-010-HOUSE_OVERSIGHT_028579.txt_5872,Re:,Reid Weingarten (ENT_000011),EVT_004,Reid Weingarten,ENT_000011,Jeffrey Epstein,ENT_000001,Reid Weingarten expresses uncertainty to Jeffrey Epstein about his own role and responsibilities in the legal matter they have been discussing.,Still have to figure out what my role is in all this shit...,2019-01-22,exact,,unknown,False,0.0,,Attorney expressing uncertainty about his legal role. Standard attorney-client administrative communication with no trafficking indicators.,,3852,1740
IMAGES-010-HOUSE_OVERSIGHT_028579.txt_5872,Re:,Reid Weingarten (ENT_000011),EVT_005,Jeffrey Epstein,ENT_000001,Reid Weingarten,ENT_000011,"Jeffrey Epstein references a prior statement by Reid Weingarten regarding limitations of an unnamed attorney's capabilities, and frames the matter as a straightforward decision if those limitations are confirmed.","you seemed to imply that your new guy could only shoot blanks? ifthats so. its an easy decision. ,if not. oy",2019-01-22,exact,,unknown,False,0.0,,"Discussion of legal representation capabilities and decision-making regarding counsel strategy. No procurement, transport, or victim-related content present.",,3852,1740
TEXT-001-HOUSE_OVERSIGHT_027061.txt_14408,Re: ,Thorbjon Jagland (ENT_000012),EVT_001,Thorbjon Jagland,ENT_000012,Jeffrey E.,,Jagland inquires about Epstein's health and requests notification of when he will be coming to Paris so they can meet and discuss matters. Jagland references recent positive time spent together.,Hope you recover quickly. We have had wonderful days. Tell me when you are coming to Paris so that we can talk.,2017-04-16,exact,"Paris, France",explicit,False,0.05,,"This appears to be routine correspondence between two individuals discussing a social visit to Paris. No indicators of procurement, sexual services, coercion, unnamed victims, or suspicious logistics are present.",,2831,905
TEXT-001-HOUSE_OVERSIGHT_027061.txt_14408,Re: ,Thorbjon Jagland (ENT_000012),EVT_002,Jeffrey E.,,Thorbjon Jagland,ENT_000012,Epstein apologizes to Jagland for cutting his stay short and indicates that multiple investigations are about to begin. This suggests Jagland was visiting Epstein and had to depart prematurely.,I'll be better I feel terrible having to cut your stay short. There is much going on . Many investigations will begin,2017-04-16,exact,,unknown,False,0.08,,"This message references a visitor's premature departure and mentions upcoming investigations, but contains no indicators of trafficking activity, victim procurement, or concealment of illegal services.",,2831,905
IMAGES-009-HOUSE_OVERSIGHT_027061.txt_16973,Re:,Thorbjon Jagland (ENT_000012),EVT_001,Jeffrey Epstein,ENT_000001,Thorbjon Jagland,ENT_000012,"Epstein apologizes to Jagland for cutting short his stay, citing multiple ongoing investigations. Epstein states: 'I'll be better I feel terrible having to cut your stay short. There is much going on. Many investigations will begin.'",I'll be better I feel terrible having to cut your stay short. There is much going on . Many investigations will begin,2017-04-16,exact,,unknown,False,0.1,,"Email discusses investigations and visit logistics but contains no procurement language, references to unnamed individuals, sexual services, payments for persons, or coercion indicators. The apology for cutting a stay short relates to investigations, not trafficking activity.",,3104,1216
IMAGES-009-HOUSE_OVERSIGHT_027061.txt_16973,Re:,Thorbjon Jagland (ENT_000012),EVT_002,Thorbjon Jagland,ENT_000012,Jeffrey Epstein,ENT_000001,Jagland acknowledges positive time spent together and requests Epstein inform him when he will be coming to Paris for further discussion.,We have had wonderful days. Tell me when you are coming to Paris so that we can talk.,2017-04-16,exact,"Paris, France",explicit,False,0.0,,"Routine communication about past visit and future meeting logistics with no indicators of procurement, services, transport of persons, or coercive language.",,3104,1216
IMAGES-009-HOUSE_OVERSIGHT_027061.txt_16973,Re:,Thorbjon Jagland (ENT_000012),EVT_003,Thorbjon Jagland,ENT_000012,Jeffrey Epstein,ENT_000001,Jagland expresses gratitude to Epstein for his contributions and support.,You should feel well for having done so much for us,2017-04-16,exact,,unknown,False,0.0,,"Expression of gratitude for financial contributions or support. No language indicating procurement, services, payments for persons, or any other trafficking-related activity.",,3104,1216
TEXT-001-HOUSE_OVERSIGHT_028926.txt_477,Fw: Fwd: Mr. Clinton and Mr. Epstein,Martin Weinberg (ENT_000013); Alan Dershowitz (ENT_000012); John Sullivan (ENT_000011); Bill Clinton (ENT_000007); The Washington Post (ENT_000014),EVT_001,Martin Weinberg,ENT_000013,Jeffrey Epstein,ENT_000001,"Martin Weinberg forwarded an email chain to Jeffrey Epstein and another recipient regarding Mr. Clinton and Mr. Epstein. The forward was initiated on March 19, 2015.","From: Martin Weinberg
To: Jeffrey Epstein [jeevacation@gmail.com], dkiesq
Date: 3/19/2015 8:40:59 PM
Subject: Fw: Fwd: Mr. Clinton and Mr. Epstein",2015-03-19,exact,,unknown,False,0.0,,"Email forward regarding political figures with no indicators of procurement, sexual services, suspicious payments, transport of individuals, coercion language, or vague references to unnamed persons.",,3120,1239
